id,name,planted,harvested,active,comments,created_at,updated_at
1,WO01,"Sat, Mar. 18, 2017",,true,Planted under master bedroom window,2017-03-18 19:44:51 UTC,2017-03-18 19:44:51 UTC
2,WO02,"Sat, Mar. 18, 2017",,true,Planted on far side of prickly bush,2017-03-18 19:45:28 UTC,2017-03-18 19:45:28 UTC
3,WO03,"Sat, Mar. 18, 2017",,true,Planted next to wooded area,2017-03-18 19:45:58 UTC,2017-03-18 19:45:58 UTC
4,WO04,"Sat, Mar. 18, 2017",,true,Planted in garden area,2017-03-18 19:46:21 UTC,2017-03-18 19:46:21 UTC
5,WO05,"Wed. March 22, 2017",,true,Planted in garden area. Weak on planting.,2017-03-22 16:15:09 UTC,2017-03-22 16:15:09 UTC
