id,name,planted,harvested,active,comments,created_at,updated_at
2,G1,"Sat. March 11, 2016",,true,Planted in bed under master bedroom windowsill,2017-03-11 21:37:38 UTC,2017-03-11 21:37:38 UTC
3,G2,"Sat. March 11, 2017",,true,Planted in front of large holly bush,2017-03-11 22:08:00 UTC,2017-03-11 22:08:00 UTC
4,G3,"Sat. March 11, 2017",,true,Planted in raised bed area,2017-03-11 22:10:01 UTC,2017-03-11 22:10:01 UTC
5,G4,"Sat. March 11, 2017",,true,Planted in front yard,2017-03-11 22:10:37 UTC,2017-03-11 22:10:37 UTC
6,G5,"Sat. March 11, 2017",,true,"Planted in front of holly bush, under crape myrtle",2017-03-11 22:11:16 UTC,2017-03-11 22:11:16 UTC
7,G6,"Sat. March 11, 2017",,true,Planted at development side of forest area,2017-03-11 22:12:08 UTC,2017-03-11 22:12:08 UTC
8,G07,"Wed. March 22, 2017",,true,Planted in garden area,2017-03-22 16:05:30 UTC,2017-03-22 16:05:30 UTC
9,G08,"Wed. March 22, 2017",,true,Planted in garden area,2017-03-22 16:05:48 UTC,2017-03-22 16:05:48 UTC
